step,date,price,agent1_action,agent2_action,agent1_confidence,agent2_confidence,agree
0,2022-04-02 00:00:00+00:00,45868.94921875,0,0,0.34272674,0.34272674,True
1,2022-04-03 00:00:00+00:00,46453.56640625,0,0,0.34913236,0.34913236,True
2,2022-04-04 00:00:00+00:00,46622.67578125,2,2,0.34510908,0.34510908,True
3,2022-04-05 00:00:00+00:00,45555.9921875,0,0,0.34997782,0.34997782,True
4,2022-04-06 00:00:00+00:00,43206.73828125,0,0,0.34936342,0.34936342,True
5,2022-04-07 00:00:00+00:00,43503.84765625,0,0,0.3623205,0.3623205,True
6,2022-04-08 00:00:00+00:00,42287.6640625,0,0,0.3602536,0.3602536,True
7,2022-04-09 00:00:00+00:00,42782.13671875,0,0,0.363575,0.363575,True
8,2022-04-10 00:00:00+00:00,42207.671875,1,1,0.36582467,0.36582467,True
9,2022-04-11 00:00:00+00:00,39521.90234375,1,1,0.36530465,0.36530465,True
10,2022-04-12 00:00:00+00:00,40127.18359375,1,1,0.37237507,0.37237507,True
11,2022-04-13 00:00:00+00:00,41166.73046875,0,0,0.3491,0.3491,True
12,2022-04-14 00:00:00+00:00,39935.515625,1,1,0.3713649,0.3713649,True
13,2022-04-15 00:00:00+00:00,40553.46484375,1,1,0.3520959,0.3520959,True
14,2022-04-16 00:00:00+00:00,40424.484375,0,0,0.36114034,0.36114034,True
15,2022-04-17 00:00:00+00:00,39716.953125,1,1,0.3463112,0.3463112,True
16,2022-04-18 00:00:00+00:00,40826.21484375,0,0,0.35936946,0.35936946,True
17,2022-04-19 00:00:00+00:00,41502.75,0,0,0.3646001,0.3646001,True
18,2022-04-20 00:00:00+00:00,41374.37890625,0,0,0.35948345,0.35948345,True
19,2022-04-21 00:00:00+00:00,40527.36328125,0,0,0.35243922,0.35243922,True
20,2022-04-22 00:00:00+00:00,39740.3203125,0,0,0.35423848,0.35423848,True
21,2022-04-23 00:00:00+00:00,39486.73046875,0,0,0.34527066,0.34527066,True
22,2022-04-24 00:00:00+00:00,39469.29296875,0,0,0.35965607,0.35965607,True
23,2022-04-25 00:00:00+00:00,40458.30859375,0,0,0.3642928,0.3642928,True
24,2022-04-26 00:00:00+00:00,38117.4609375,1,1,0.36450973,0.36450973,True
25,2022-04-27 00:00:00+00:00,39241.12109375,0,0,0.3685304,0.3685304,True
26,2022-04-28 00:00:00+00:00,39773.828125,0,0,0.37216184,0.37216184,True
27,2022-04-29 00:00:00+00:00,38609.82421875,0,0,0.34547716,0.34547716,True
28,2022-04-30 00:00:00+00:00,37714.875,1,1,0.35740146,0.35740146,True
29,2022-05-01 00:00:00+00:00,38469.09375,0,0,0.35290435,0.35290435,True
30,2022-05-02 00:00:00+00:00,38529.328125,0,0,0.35032824,0.35032824,True
31,2022-05-03 00:00:00+00:00,37750.453125,0,0,0.34766072,0.34766072,True
32,2022-05-04 00:00:00+00:00,39698.37109375,0,0,0.38758034,0.38758034,True
